iter	Passed	Remaining
0	1	401
1	2	332
2	5	430
3	6	428
4	9	472
5	11	45666	12	44577	14	44788	17	46199	19	461110	22	480
11	24	494
12	27	495
13	29	496
14	31	492
15	33	483
16	35	481
17	36	473
18	38	469
19	40	467
20	42	459
21	45	466
22	46	462
23	48	456
24	49	447
25	52	451
26	54	450
27	56	448
28	58	448
29	60	443
30	62	438
31	64	440
32	66	439
33	69	439
34	70	434
35	73	436
36	75	434
37	77	430
38	78	426
39	80	420
40	81	416
41	83	411
42	85	412
43	87	409
44	89	407
45	91	403
46	92	400
47	94	396
48	95	393
49	97	391
50	99	386
51	101	388
52	103	385
53	105	382
54	107	381
55	109	378
56	111	377
57	113	374
58	115	372
59	116	369
60	118	367
61	119	363
62	121	360
63	123	357
64	125	356
65	126	65	166	127	66	167	129	67	168	131	68	169	134	69	170	136	344
71	138	342
72	140	340
73	142	339
74	144	336
75	145	334
76	148	333
77	150	331
78	151	79	179	153	80	180	155	81	181	157	82	182	159	83	183	162	321
84	163	85	185	166	86	186	168	315
87	170	313
88	171	310
889	180	320990	182	31891	177	92	1992	18693	193	181	94	194	184	301
95	186	298
96	189	298
97	190	295
98	193	295
99	195	292
100	196	290
101	198	287
102	200	285
103	201	282
104	203	281
105	205	279
106	207	276
107	208	274
108	210	109	109	212	110	110	214	268
111	216	267
112	218	113	113	219	114	114	221	115	115	223	116	116	224	117	117	226	118	1118	234119	1119	237	2561120	238	2541121	240122	1122	242	2501123	244	2481124	247	247
125	250	246
126	251	243
127	254	242
128	256	240
129	258	238
130	259	235
131	262	234
132	264	232
133	267	231
134	268	228
135	269	226
136	271	224
137	273	222
138	275	2191139	276	2171140	278	2141141	281	2131142	283	212
143	287	211
144	288	209
145	291	207
146	293	205
147	295	203
148	296	201
149	298	198
150	299	196
151	301	194
152	302153	2153	304154	2154	305155	2155	307156	3156	309157	3157	311158	3158	314159	1159	317	178
160	319	176
161	321	174
162	322	172
163	324164	3164	325165	3165	327166	3166	329167	3167	330168	3168	333169	3169	335170	3170	336171	3171	339172	334	148
173	336	147
174	3174	345175	3175	346176	342	141
177	3177	351178	3178	353179	3179	355180	3180	357181	351	131
182	354	129
183	355	127
184	357	125
185	358	123
186	3186	368187	3187	370188	3188	371189	3189	373190	3190	375191	3191	377192	3192	379193	3193	381194	375	105
195	378	104
196	380	102
197	383	100
198	385	98
199	387	96
200	388	94
201	390	92
202	393	91
203	394	89
204	396	87
205	398	85
206	39206	4207	40207	4208	403	79
209	405	77
210	407	75
211	409	73
212	412	71
213	415	69
214	416	67
215	419	66
216	422	64
217	424	62
218	425	60
219	427	58
220	429	56
221	431	54
222	433	52
223	435	50
224	436	48
225	438	46
226	439	44
227	441	42
228	443	40
229	444	38
230	447	36
231	449	34
232	451	32
233	452	30
234	454	29
235	455	27
236	457	25
237	459	23
238	46238	4239	46239	4240	46240	4241	46241	4242	46242	4243	47243	4244	47244	245	474	7
246	47246	247	47247	248	48248	249	483	0
490	0
490	0
